1 126537
1 130391
0 999125449
1 129037
1 125651
1 131276
1 126068
1 127944
1 136901
1 115808
0 999128626
1 126224
1 128985
1 129037
1 126745
1 125078
1 128829
1 127683
0 999128678
1 124089
1 128464
1 129088
1 128933
1 125391
1 126589
0 999128887
1 127214
1 127734
1 128100
1 126380
1 127422
1 127110
1 126745
0 999127741
1 129141
1 127474
1 125235
1 128516
1 126745
1 128621
1 126797
0 999127376
1 130026
1 127058
1 125235
1 2129754
1 124349
1 128204
1 128724
0 999127324
1 127214
1 127527
1 154818
1 101380
1 243776
1 11277
1 241536
0 999012794
1 133568
1 120287
1 127786
1 127735
1 125339
1 129350
0 999127948
1 125912
1 127423
1 127786
1 131641
1 2124963
1 125443
1 129245
0 999127949
1 125652
1 125755
1 129298
1 126276
1 130391
1 8726330
0 991527108
0 999127481
1 127891
1 127005
1 127943
1 125860
1 130183
1 126901
1 126068
0 999127637
1 125859
1 130339
1 125964
1 128881
1 127006
1 127370
0 999126334
1 127683
1 129401
1 127527
1 127109
1 126485
1 247474
1 5652
0 999128209
1 128829
1 126172
1 128568
1 128308
1 126953
1 126016
1 149089
0 999102897
1 130704
1 125755
1 126641
1 127891
1 127475
1 126068
1 129245
0 999125709
1 128516
1 129766
1 126277
1 134610
1 123464
1 127057
1 129193
0 999123626
1 129350
1 129609
1 124558
1 127422
1 128464
1 126173
0 999127480
1 129037
1 127526
1 128464
1 134870
1 115808
1 129714
1 124662
0 999127219
1 128933
1 127370
1 125912
1 130027
1 151068
1 101849
1 162735
0 999135240
1 85652
1 133985
1 120339
1 129088
1 125600
1 126589
1 135234
0 999122429
1 125391
1 129818
1 126641
1 175338
1 92631
1 124350
0 999118782
1 127474
1 126954
1 130547
1 122006
1 127109
1 3562871
0 996695672
0 999126855
1 234661
1 18882
1 128047
1 125026
1 131068
1 127006
1 122526
0 999128678
1 127423
1 128776
1 126120
1 2127411
1 168828
1 85444
1 128724
0 999126647
1 193776
1 67266
1 158933
1 92526
1 125131
1 128620
0 999136178
1 118256
1 152578
1 103100
1 129245
1 126016
1 154870
1 103047
0 999125866
1 129297
1 131954
1 142682
1 106485
1 126745
1 126798
1 128932
0 999129408
1 126120
1 136328
1 117631
1 127370
1 126641
1 132735
1 122318
0 999163313
1 108881
1 144089
1 93933
1 127526
1 127787
1 126953
1 126537
0 999130970
1 125808
1 124453
1 126277
1 128568
1 126328
1 127475
0 999128834
1 124974
1 129923
1 125443
1 185234
1 70287
1 126381
1 127787
0 999128418
1 128359
1 125287
1 128256
1 2128192
1 127109
1 127266
1 130079
0 999126803
1 127422
1 130860
1 128620
1 177630
1 75704
1 127787
1 142995
0 999109512
1 152578
1 116277
1 134193
1 2109233
1 127370
1 126589
0 999127585
1 126172
1 125287
1 131224
1 128152
1 125391
1 124453
1 125652
0 999128105
1 128412
1 130859
1 125287
1 2125900
1 131173
1 135026
1 120183
0 999124251
1 128568
1 126120
1 127318
1 127058
1 127162
1 129089
1 127787
0 999127844
1 132527
1 126537
1 124870
1 125078
1 130860
1 124297
0 999128262
1 127735
